id,title,author,first_publish_year,rating,author_encoded,cluster
1034,Seeds of Yesterday,V. C. Andrews,1984,5.0,25,1
1035,Mistress Masham's Repose,T. H. White,1946,4.0,6,0
1036,A set of six,Joseph Conrad,1908,4.0,21,0
1037,Raise the Titanic!,Clive Cussler,1976,5.0,35,1
1038,"The Stars, Like Dust",Isaac Asimov,1951,4.0,25,0
1039,細雪 (Sasameyuki),谷崎潤一郎,1944,4.0,4,0
1040,The Amazing Maurice and His Educated Rodents,Terry Pratchett,2001,4.0,54,2
1041,Pyramids,Terry Pratchett,1989,5.0,54,2
1042,The Watsons go to Birmingham--1963,Christopher Paul Curtis,1963,5.0,2,3
1043,Skellig,David Almond,1998,4.0,1,4
1044,The Summer of the Swans,Betsy Cromer Byars,1970,5.0,5,1
1045,The incredulity of Father Brown,Gilbert Keith Chesterton,1920,4.0,15,0
1046,The story of my life,Helen Keller,1903,5.0,1,3
1047,The Summer of My German Soldier,Bette Greene,1973,5.0,2,1
1048,"Then Again, Maybe I Won't",Judy Blume,1971,4.0,17,4
1049,Lie Down With Lions,Ken Follett,1985,4.0,20,4
1050,Love of Life and Other Stories,Jack London,1907,4.0,22,0
1051,"Ayesha, the return of She",H. Rider Haggard,1900,5.0,14,3
1052,Un certain sourire,Françoise Sagan,1956,4.0,3,0
1053,The Cat That Walked by Himself,Rudyard Kipling,1902,4.0,21,0
1054,Peter's Chair,Ezra Jack Keats,1967,4.0,3,4
1055,The Last Olympian,Rick Riordan,2009,5.0,18,1
1056,Ramona Forever,Beverly Cleary,1927,4.0,24,0
1057,"Click, Clack, Moo Cows That Type",Doreen Cronin,1900,5.0,2,3
1058,Stormbreaker,Anthony Horowitz,2000,5.0,7,1
1059,Hunter x hunter,Yoshihiro Togashi,1998,5.0,1,1
1060,Fall of Giants,Ken Follett,2010,4.0,20,4
1061,The breaking wave,Nevil Shute,1955,5.0,8,3
1062,Perelandra,C.S. Lewis,1943,4.0,14,0
1063,Next,Michael Crichton,2006,5.0,18,1
1064,Le lotus bleu,Hergé,1934,4.0,20,0
1065,City,Clifford D. Simak,1952,5.0,3,3
1066,Royal Escape,Georgette Heyer,1938,5.0,23,3
1067,Astérix chez les Belges,René Goscinny,1979,4.0,17,4
1068,Les Lauriers de César,René Goscinny,1972,4.0,17,4
1069,C Pack,Martin Waddell,1975,4.0,4,4
1070,The postman always rings twice,James M. Cain,1934,4.0,3,0
1071,The Forever War,Joe Haldeman,1974,5.0,1,1
1072,Eon,Greg Bear,1985,5.0,14,1
1073,Fine things,Danielle Steel,1987,4.0,30,4
1074,The heart of the matter,Graham Greene,1948,5.0,20,3
1075,The Polar Express Gift Set,Chris Van Allsburg,1985,5.0,2,1
1076,The Hollow Hills,Mary Stewart,1973,5.0,16,1
1077,The bull from the sea,Mary Renault,1962,4.0,6,4
1078,Beezus and Ramona,Beverly Cleary,1955,4.0,24,0
1079,Notes On Life And Letters Of Joseph Conrad,Joseph Conrad,1921,5.0,21,3
1080,"Gone, Baby, Gone",Dennis Lehane,1998,4.0,13,4
1081,The Book Of Three,Alexander,1964,4.0,1,4
1082,Another Country,James Baldwin,1962,5.0,6,3
1083,Apache Devil,Edgar Rice Burroughs,1964,5.0,30,3
1084,The Witch of Blackbird Pond,Elizabeth George Speare,1958,4.02,4,0
1085,Unless,Carol Shields,2002,4.0,5,4
1086,Anansi Boys,Neil Gaiman,2005,4.0,15,4
1087,Duma Key,Stephen King,2008,4.0,70,2
1088,Deathlands,James Axler,1987,5.0,1,1
1089,Honeymoon,James Patterson,2001,4.0,101,2
1090,The Trumpet of the Swan,E. B. White,1970,5.0,3,1
1091,Where Are the Children?,Mary Higgins Clark,1975,5.0,20,1
1092,Death in the Stocks,Georgette Heyer,1935,4.0,23,0
1093,Tres tristes tigres,Guillermo Cabrera Infante,1965,5.0,1,3
1094,Pale fire,Vladimir Nabokov,1962,5.0,13,3
1095,This is my God,Herman Wouk,1959,5.0,9,3
1096,The Perks of Being a Wallflower,Stephen Chbosky,1999,4.23,1,4
1097,Danny and the Dinosaur,Syd Hoff,1958,5.0,3,3
1098,Henry and Beezus,Beverly Cleary,1923,5.0,24,3
1099,The long ships,Frans Gunnar Bengtsson,1943,4.0,1,0
1100,Mannen som gick upp i rök,Maj Sjöwall,1966,4.0,10,4
1101,Miss Pym disposes,Josephine Tey,1946,4.0,8,0
1102,White oleander,"Fitch, Janet",1989,5.0,1,1
1103,Purple Hibiscus,Chimamanda Ngozi Adichie,2003,5.0,4,1
1104,Ecos Del Corazon,Maeve Binchy,1985,4.0,19,4
1105,Johnny Got His Gun,Dalton Trumbo,1939,4.2,1,0
1106,A Marriage Under the Terror,Patricia Wentworth,1910,5.0,6,3
1107,Once upon a time,A. A. Milne,1907,5.0,10,3
1108,"The box of delights, or When the wolves were running",John Masefield,1935,5.0,3,3
1109,Eyeless in Gaza,Aldous Huxley,1930,4.0,10,0
1110,Prelude to Foundation,Isaac Asimov,1988,4.0,25,4
1111,Pebble in the Sky,Isaac Asimov,1950,4.0,25,0
1112,The amateur gentleman,Jeffery Farnol,1900,5.0,4,3
1113,L'isola del giorno prima,Umberto Eco,1994,5.0,8,1
1114,The virgin in the ice,Edith Pargeter,1982,5.0,14,1
1115,"Carry On, Jeeves",P. G. Wodehouse,1925,5.0,32,3
1116,Remembrance,Danielle Steel,1920,5.0,30,3
1117,Lotte in Weimar,Thomas Mann,1939,4.0,9,0
1118,"Judy Moody, M.D",Megan McDonald,2004,5.0,12,1
1119,鍵 (Kagi),谷崎潤一郎,1956,5.0,4,3
1120,The white peacock,David Herbert Lawrence,1911,4.0,12,0
1121,La Grande Traversée,René Goscinny,1975,4.0,17,4
1122,Mördare utan ansikte,Henning Mankell,1993,4.0,16,4
1123,Men at Arms,Terry Pratchett,1993,4.0,54,2
1124,Flying finish,Dick Francis,1966,5.0,24,1
1125,Reaper Man,Terry Pratchett,1991,5.0,54,2
1126,Cat & Mouse,James Patterson,1997,5.0,101,2
1127,Glory Road,Robert A. Heinlein,1963,4.0,28,4
1128,The Vampire Lestat,Anne Rice,1986,4.0,23,4
1129,Hideaway,Dean Koontz,1992,4.0,48,4
1130,King of the Wind,Marguerite Henry,1948,4.0,3,0
1131,Violets Are Blue,James Patterson,2001,4.0,101,2
1132,Oil!,Upton Sinclair,1927,4.0,6,0
1133,Phantoms,Dean Koontz,1983,4.0,48,4
1134,The CIDER HOUSE RULES,John Irving,1985,4.0,3,4
1135,Brisingr,Christopher Paolini,1998,4.0,3,4
1136,Judy Moody Gets Famous,Megan McDonald,2001,5.0,12,1
1137,A Storm of Swords,George R. R. Martin,2000,5.0,10,1
1138,Mattimeo (Redwall #3),Brian Jacques,1989,5.0,15,1
1139,Say Cheese and Die!,Robert Lawrence Stine,1992,4.0,33,4
1140,Clear and Present Danger,Tom Clancy,1989,4.0,12,4
1141,Sabriel,Garth Nix,1995,5.0,5,1
1142,Entre visillos,Carmen Martín Gaite,1958,5.0,1,3
1143,How the Grinch Stole Christmas!,Dr. Seuss,1957,4.38,16,0
1144,Lassie Come-Home,Eric Knight,1940,4.0,1,0
1145,Astérix et le Chaudron,René Goscinny,1969,4.0,17,4
1146,1Q84,村上春樹,2009,4.0,13,4
1147,The Wolves of Willoughby Chase (Wolves #1),Joan Aiken,1911,5.0,3,3
1148,The Poisonwood Bible,Barbara Kingsolver,1998,4.1,2,4
1149,Bel Canto,Ann Patchett,2001,3.94,1,4
1150,A Wind in the Door (Time Quintet #2,Madeleine L'Engle,1973,5.0,7,1
1151,Válka s mloky,Karel Čapek,1936,4.0,3,0
1152,A Kiss for Little Bear,Else Holmelund Minarik,1958,5.0,5,3
1153,The Mother,Pearl S. Buck,1900,5.0,14,3
1154,Wolf Hall,Hilary Mantel,2009,4.0,6,4
1155,The lion's game,Nelson De Mille,1971,4.0,16,4
1156,The Cat Ate My Gymsuit,Paula Danziger,1974,5.0,9,1
1157,Persuader,Lee Child,2003,5.0,24,1
1158,Deathworld 1,Harry Harrison,1960,4.0,9,0
1159,Looking Backward from 2000 to 1887,Edward Bellamy,1945,4.0,1,0
1160,Kensuke's kingdom,Michael Morpurgo,1999,4.0,7,4
1161,Forward the Foundation,Isaac Asimov,1993,5.0,25,1
1162,Narziss und Goldmund,Hermann Hesse,1930,5.0,11,3
1163,Peyton Place,Grace Metalious,1956,4.0,1,0
1164,Judy Moody Predicts the Future,Megan McDonald,2003,5.0,12,1
1165,Snow,Orhan Pamuk,2002,5.0,6,1
1166,The Mermaids Singing,Val McDermid,1995,5.0,8,1
1167,Go Ask Alice,Beatrice Sparks,1971,3.74,1,4
1168,The Sicilian,Mario Puzo,1983,4.0,9,4
1169,Le Dernier des Justes,André Schwarz-Bart,1959,5.0,1,3
1170,South Wind,Norman Douglas,1917,5.0,1,3
1171,Handa's Surprise,Eileen Browne,1994,5.0,1,1
1172,Elric of Melniboné,Michael Moorcock,1972,5.0,1,1
1173,The Robots of Dawn,Isaac Asimov,1983,4.0,25,4
1174,Love and other stories [23 stories],Антон Павлович Чехов,1922,4.0,13,0
1175,Lord Peter Views the Body,Dorothy L. Sayers,1928,4.0,13,0
1176,Black Friday,James Patterson,1986,5.0,101,2
1177,Königliche Hoheit,Thomas Mann,1909,4.0,9,0
1178,Ningen shikkaku,Osamu Dazai,1948,5.0,1,3
1179,The Secret Woman,Victoria Holt,1970,4.0,23,4
1180,No Loger at Ease,Chinua Achebe,1960,5.0,4,3
1181,The Lady in the Lake,Raymond Chandler,1943,4.0,7,0
1182,The Wave,Todd Strasser,1981,5.0,1,1
1183,"""A"" is for Alibi",Sue Grafton,1982,4.0,7,4
1184,Une'Tete Coupee,Iris Murdoch,1961,5.0,9,3
1185,The ruby in the smoke (Sally Lockhart #1),Philip Pullman,1985,5.0,13,1
1186,Snow Crash,Neal Stephenson,1992,4.02,8,4
1187,The Tiny Seed,Eric Carle,1970,5.0,16,1
1188,Eldest,Christopher Paolini,2005,5.0,3,1
1189,A Feast for Crows,George R. R. Martin,2005,4.0,10,4
1190,The House with a Clock in Its Walls,John Bellairs,1973,5.0,4,1
1191,Devices and Desires,P. D. James,1989,5.0,19,1
1192,Камера Обскура (Kamera obskura),Vladimir Nabokov,1930,4.0,13,0
1193,Paper towns,John Green,2008,5.0,6,1
1194,Snow Falling on Cedars,David Guterson,1994,3.86,1,4
1195,Paradiso,José Lezama Lima,1966,4.0,1,4
1196,Fifteen,Beverly Cleary,1956,5.0,24,3
1197,A Quiver Full of Arrows,Jeffrey Archer,1980,5.0,24,1
1198,The Appeal,John Grisham,2008,4.0,31,4
1199,Five Have Plenty of Fun,Enid Blyton,1955,4.0,38,0
1200,Five Go to Billycock Hill,Enid Blyton,1957,5.0,38,3
1201,L'île noire,Hergé,1947,4.0,20,0
1202,Jeden Freitagabend,Maeve Binchy,1984,4.0,19,4
1203,Lolly Willowes,Sylvia Townsend Warner,1926,4.0,1,0
1204,The Snail and the Whale,Julia Donaldson,2001,5.0,14,1
1205,The Family,Mario Puzo,2001,5.0,9,1
1206,Fear Nothing,Dean Koontz,1997,5.0,48,2
1207,El reino del dragón de oro,Isabel Allende,2003,5.0,17,1
1208,King of Khyber Rifles,Talbot Mundy,1916,4.0,1,0
1209,The White Feather,P. G. Wodehouse,1907,5.0,32,3
1210,Desolation Island Audio,Patrick O'Brian,1978,5.0,21,1
1211,"2010, odyssey two",Arthur C. Clarke,1982,5.0,12,1
1212,Nights Of Rain And Stars (Larkin Family Chronicles),Maeve Binchy,2004,4.0,19,4
1213,The Nightingale,Kristin Hannah,2000,4.64,7,1
1214,Molloy,Samuel Beckett,1951,4.0,3,0
1215,Fight Club,Chuck Palahniuk,1996,4.18,7,4
1216,The Final Empire,Brandon Sanderson,2001,5.0,13,1
1217,The Shape of Things to Come,H. G. Wells,1933,4.0,24,0
1218,The Looking Glass War,John le Carré,1965,5.0,16,1
1219,The Death of Ivan Ilych and other stories,Лев Толстой,1902,5.0,10,3
1220,The Running Man,Stephen King,1982,4.0,70,2
1221,The Great Train Robbery,Michael Crichton,1975,4.0,18,4
1222,"Full Dark, No Stars",Stephen King,2010,5.0,70,2
1223,Thud!,Terry Pratchett,2005,5.0,54,2
1224,Sushi für Anfänger,Marian Keyes,2000,4.0,5,4
1225,Half of a Yellow Sun,Chimamanda Ngozi Adichie,2006,4.0,4,4
1226,Sweet danger,Margery Allingham,1933,4.0,14,0
1227,The Adventures of Elizabeth in Rügen,Elizabeth von Arnim,1904,5.0,7,3
1228,Tripwire,Lee Child,1999,4.0,24,4
1229,Insurgent,Veronica Roth,2011,5.0,4,1
1230,The quest of the silver fleece,W. E. B. Du Bois,1911,5.0,2,3
1231,Die Handschrift von Saragossa,Jan Potocki,1950,5.0,1,3
1232,Mike Mulligan and His Steam Shovel,Virginia Lee Burton,1939,5.0,4,3
1233,Ready Player One,Ernest Cline,2008,5.0,2,1
1234,The Graveyard Book,Neil Gaiman,2008,4.16,15,4
1235,The Red Pyramid,Rick Riordan,2010,5.0,18,1
1236,Ramona the Brave,Beverly Cleary,1975,5.0,24,1
1237,The ranch,Danielle Steel,1997,5.0,30,1
1238,Beyond This Horizon,Robert A. Heinlein,1940,5.0,28,3
1239,The Paper Bag Princess (Classic Munsch),Robert N Munsch,1980,5.0,4,1
1240,The Night Manager,John le Carré,1993,5.0,16,1
1241,Original Sin,P. D. James,1994,5.0,19,1
1242,R.U.R,Karel Čapek,1920,5.0,3,3
1243,Tarzan the magnificent,Edgar Rice Burroughs,1939,4.0,30,0
1244,Winnie-the-Pooh / The House at Pooh Corner,A. A. Milne,1926,5.0,10,3
1245,Amazing Grace,Danielle Steel,2007,5.0,30,1
1246,Recuerdos de Un Verano,Maeve Binchy,1987,4.0,19,4
1247,Ensaio Sobre a Cegueira,José Saramago,1995,5.0,2,1
1248,The Fifth Elephant,Terry Pratchett,1999,4.0,54,2
1249,Gabriela Cravo e Canela,Jorge Leal Amado de Faria,1962,4.0,2,4
1250,The Lathe of Heaven,Ursula K. Le Guin,1971,5.0,15,1
1251,Now we are six,A. A. Milne,1925,5.0,10,3
1252,The last of the wine,Mary Renault,1956,4.0,6,0
1253,The Accidental Tourist,Anne Tyler,1985,4.0,2,4
1254,Sons,Pearl S. Buck,1932,4.0,14,0
1255,Speaker for the Dead,Orson Scott Card,1986,5.0,16,1
1256,A dark-adapted eye,Ruth Rendell,1986,5.0,18,1
1257,Shadowfires,Dean Koontz,1987,5.0,48,2
1258,Honor Among Thieves,Jeffrey Archer,1993,5.0,24,1
1259,We Have Always Lived in the Castle,Shirley Jackson,1962,3.92,3,4
1260,Feet of Clay,Terry Pratchett,1996,5.0,54,2
1261,Bonecrack,Dick Francis,1971,4.0,24,4
1262,On Beauty,Zadie Smith,2005,4.0,5,4
1263,Welcome to Dead House,Robert Lawrence Stine,1992,4.0,33,4
1264,El bosque de los pigmeos,Isabel Allende,2004,4.0,17,4
1265,Nightmares & Dreamscapes,Stephen King,1993,4.0,70,2
1266,Whisky galore,Sir Compton Mackenzie,1947,4.0,1,0
1267,Eric,Terry Pratchett,1990,4.0,54,2
1268,The Children of Men,P. D. James,1992,5.0,19,1
1269,The High King (Chronicles of Prydain),Lloyd Alexander,1968,5.0,5,1
1270,Just After Sunset,Stephen King,2008,5.0,70,2
1271,The Ginger Man,J. P. Donleavy,1956,4.0,1,0
1272,Cause of Death,Patricia Cornwell,1995,5.0,3,1
1273,O telefteos pirasmos,Nikos Kazantzakis,1901,5.0,5,3
1274,Shadow in the north (Sally Lockhart #2),Philip Pullman,1986,4.0,13,4
1275,The Ministry of Fear,Graham Greene,1943,5.0,20,3
1276,The Thin Man,Dashiell Hammett,1934,4.0,5,0
1277,Dar,Vladimir Nabokov,1923,5.0,13,3
1278,Haroun and the Sea of Stories,Salman Rushdie,1990,5.0,11,1
1279,Love You Forever,Robert N Munsch,1986,4.38,4,4
1280,Madeline's Rescue,Ludwig Bemelmans,1900,4.0,5,0
1281,House of a Thousand Lanterns,Victoria Holt,1940,5.0,23,3
1282,Night of the Living Dummy,Robert Lawrence Stine,1993,5.0,33,1
1283,Maniac Magee,Jerry Spinelli,1990,4.0,5,4
1284,The dark tower,Stephen King,1990,4.0,70,2
1285,The Song of Achilles,Madeline Miller,2011,4.31,2,4
1286,The Mixed-Up Chameleon,Eric Carle,1975,5.0,16,1
1287,The twenty-one balloons,William Pène Du Bois,1947,5.0,1,3
1288,Smoke Bellew,Jack London,1912,4.0,22,0
1289,L'amica geniale,Elena Ferrante,2011,4.0,7,4
1290,Olive Kitteridge,Elizabeth Strout,2007,5.0,3,1
1291,The King's Confidante,Eleanor Alice Burford Hibbert,1950,5.0,7,3
1292,The Slave Dancer (Laurel-Leaf Historical Fiction),Paula Fox,1973,5.0,1,1
1293,"Washington, D.C.",Gore Vidal,1967,5.0,5,1
1294,The Whole Truth,David Baldacci,2008,5.0,36,1
1295,Above suspicion,Helen MacInnes,1941,4.0,7,0
1296,"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,2001,3.97,15,4
1297,Freckle Juice,Judy Blume,1971,4.0,17,4
1298,Dark Angel,V. C. Andrews,1972,5.0,25,1
1299,El camino,Miguel Delibes,1950,4.0,1,0
1300,Miss Lonelyhearts,Nathanael West,1933,4.0,3,0
1301,"The Little Mouse, the Ripe Red Strawberry, and the Big Hungry Bear",Audrey Wood,1945,5.0,3,3
1302,Sea Swept,Nora Roberts,1968,4.0,89,2
1303,Saint Peter's Fair,Edith Pargeter,1981,5.0,14,1
1304,The Last Juror,John Grisham,2003,4.0,31,4
1305,Cup of Gold,John Steinbeck,1929,5.0,18,3
1306,The secret of Father Brown,Gilbert Keith Chesterton,1927,4.0,15,0
1307,Xenocide,Orson Scott Card,1991,5.0,16,1
1308,Memórias de um Sargento de Milícias,Manuel Antônio de Almeida,1925,5.0,1,3
1309,Cloud Atlas,David Mitchell,2004,4.01,3,4
1310,The Circle,Dave Eggers,2013,4.0,4,4
1311,Stiller,Max Frisch,1954,4.0,2,0
1312,The broad highway,Jeffery Farnol,1910,4.0,4,0
1313,The Hammer of Eden,Ken Follett,1998,4.0,20,4
1314,The Goldfinch,Donna Tartt,2013,3.96,3,4
1315,Stone of Tears,Terry Goodkind,1995,4.0,12,4
1316,Tod in Venedig,Thomas Mann,1925,4.0,9,0
1317,V.,Thomas Pynchon,1963,4.0,5,4
1318,The Getaway,Jeff Kinney,2017,5.0,12,1
1319,Monstrous Regiment,Terry Pratchett,2003,5.0,54,2
1320,Maskerade,Terry Pratchett,1995,5.0,54,2
1321,A Man of the People,Chinua Achebe,1966,5.0,4,1
1322,Fallen Hearts,V. C. Andrews,1988,5.0,25,1
1323,Shardik,Richard Adams,1965,5.0,3,3
1324,The gold coast,Nelson De Mille,1990,4.0,16,4
1325,Skipping Christmas,John Grisham,2001,4.0,31,4
1326,If Beale Street Could Talk,James Baldwin,1974,5.0,6,1
1327,The hours,Michael Cunningham,1998,5.0,1,1
1328,Honor Thyself,Danielle Steel,2008,5.0,30,1
1329,Bad Luck and Trouble,Lee Child,1984,5.0,24,1
1330,Servant of the Bones,Anne Rice,1996,4.0,23,4
1331,Il fu Mattia Pascal,Luigi Pirandello,1904,4.0,1,0
1332,Stone Butch Blues,Leslie Feinberg,1993,5.0,1,1
1333,Valčík na rozloučenou,Milan Kundera,1976,5.0,12,1
1334,Život je jinde,Milan Kundera,1973,4.0,12,4
1335,Big Sur,Jack Kerouac,1962,5.0,10,3
1336,Scaramouche,Rafael Sabatini,1921,4.0,5,0
1337,"Bless Me, Ultima",Rudolfo A. Anaya,1972,5.0,1,1
1338,Captain Underpants and the Perilous Plot of Professor Poopypants,Dav Pilkey,2000,5.0,22,1
1339,The Wishing Spell,Chris Colfer,1990,5.0,3,1
1340,L'affaire Saint-Fiacre,Georges Simenon,1932,4.0,45,0
1341,Strega Nona,Tomie dePaola,1934,5.0,3,3
1342,Mouse Soup,Arnold Lobel,1977,4.0,9,4
1343,Alanna,Tamora Pierce,1954,5.0,9,3
1344,Into the Wild,Erin Hunter,2003,4.02,5,4
1345,Captain Underpants and the Wrath of the Wicked Wedgie Woman,Dav Pilkey,2001,5.0,22,1
1346,Leo the Late Bloomer,Robert Kraus,1971,5.0,2,1
1347,The end of the affair,Graham Greene,1951,5.0,20,3
1348,Jacob have I loved,Katherine Paterson,1980,5.0,4,1
1349,The Great Gilly Hopkins (M Books),Katherine Paterson,1978,5.0,4,1
1350,The White Dragon,Anne McCaffrey,1978,4.0,25,4
1351,The Ersatz Elevator,Lemony Snicket,2001,5.0,14,1
1352,The Austere Academy,Lemony Snicket,2000,5.0,14,1
1353,Ribsy,Beverly Cleary,1964,4.0,24,4
1354,The Sword of Shannara,Terry Brooks,1976,4.0,14,4
1355,Garfield,Jim Davis,1981,5.0,1,1
1356,At the Foot of the Rainbow,Gene Stratton-Porter,1907,5.0,6,3
1357,Mr Norris Changes Trains,Christopher Isherwood,1935,4.0,5,0
1358,Where the Crawdads Sing,Delia Owens,2018,4.38,1,4
1359,Death in a White Tie,Ngaio Marsh,1938,4.0,22,0
1360,Test of the Twins,Margaret Weis,1986,4.0,8,4
1361,Days With Frog and Toad,Arnold Lobel,1979,5.0,9,1
1362,Moreta,Anne McCaffrey,1983,5.0,25,1
1363,And the Mountains Echoed,Khaled Hosseini,2013,5.0,3,1
1364,L.A. Confidential,James Ellroy,1990,5.0,9,1
1365,The Bridges of Madison County,Robert James Waller,1992,3.71,1,4
1366,The Crystal Cave,Mary Stewart,1970,5.0,16,1
1367,La place,Annie Ernaux,1983,5.0,2,1
1368,Methuselah's children,Robert A. Heinlein,1958,4.0,28,0
1369,The Chrysalids,John Wyndham,1955,5.0,5,3
1370,Dragonball (Doragon bo-ru),Akira Toriyama,1984,5.0,1,1
1371,Citizen of the Galaxy,Robert A. Heinlein,1957,4.0,28,0
1372,Web of Dreams,V. C. Andrews,1920,5.0,25,3
1373,My Sweet Audrina,V. C. Andrews,1982,5.0,25,1
1374,Red Mars,Kim Stanley Robinson,1992,4.0,4,4
1375,Without fail,Lee Child,2002,4.0,24,4
1376,The Mediterranean Caper,Clive Cussler,1973,5.0,35,1
1377,One Corpse too Many,Edith Pargeter,1979,4.0,14,4
1378,Deep Six,Clive Cussler,1984,4.0,35,4
1379,To Let,John Galsworthy,1921,5.0,5,3
1380,The Rosie Project,Graeme Simsion,2013,4.0,2,4
1381,Edge of Eternity,Ken Follett,2014,4.0,20,4
1382,Kiss Kiss,Roald Dahl,1960,4.0,22,0
1383,Indiscretions of Archie,P. G. Wodehouse,1921,4.0,32,0
1384,The Last Don,Mario Puzo,1996,4.0,9,4
1385,Absolute Friends,John le Carré,2003,4.0,16,4
1386,"Black Hawk, Down",Mark Bowden,1999,5.0,1,1
1387,The Time Traders,Andre Norton,1958,4.0,8,0
1388,Unseen Academicals,Terry Pratchett,2008,5.0,54,2
1389,Ada,Vladimir Nabokov,1969,5.0,13,1
1390,After Many a Summer,Aldous Huxley,1939,5.0,10,3
1391,The Edwardians,Vita Sackville-West,1930,4.0,2,0
1392,The selfish giant,Oscar Wilde,1932,5.0,13,3
1393,Artemis Fowl. The Lost Colony,Eoin Colfer,2006,4.0,13,4
1394,"Julius, the Baby of the World",Kevin Henkes,1990,5.0,7,1
1395,No country for old men,Cormac McCarthy,1900,4.0,6,0
1396,Through the Eye of the Needle,William Dean Howells,1907,4.0,6,0
1397,The tale of Mr. Tod,Beatrix Potter,1911,4.0,21,0
1398,The Inheritors,William Golding,1955,4.0,6,0
1399,"The Dragon Reborn (The Wheel of Time, Book 3)",Robert Jordan,1991,4.0,15,4
1400,The Camel Club,David Baldacci,2005,4.0,36,4
1401,Moving Pictures,Terry Pratchett,1990,4.0,54,2
1402,Gates of Paradise,V. C. Andrews,1989,4.0,25,4
1403,Smokescreen,Dick Francis,1972,5.0,24,1
1404,Soul Music,Terry Pratchett,1994,5.0,54,2
1405,Великий инквизитор,Фёдор Михайлович Достоевский,1900,5.0,15,3
1406,The shadow of the Lynx / Victoria Holt,Victoria Holt,1971,5.0,23,1
1407,God Emperor of Dune,Frank Herbert,1981,4.0,11,4
1408,Shrek!,William Steig,1990,5.0,9,1
1409,To a God Unknown,John Steinbeck,1933,5.0,18,3
1410,Stonehenge,Bernard Cornwell,1999,5.0,27,1
1411,Dragonsong,Anne McCaffrey,1976,4.0,25,4
1412,The Truth,Terry Pratchett,1995,4.0,54,2
1413,Le petit Nicolas,Jean-Jacques Sempé,1960,4.0,3,0
1414,Bloodline.,Sidney Sheldon,1977,5.0,4,1
1415,The beach house,James Patterson,2001,5.0,101,2
1416,The Wayward Bus,John Steinbeck,1947,4.0,18,0
1417,三体,刘慈欣,2008,4.0,4,4
1418,Stone soup,Marcia Brown,1947,5.0,1,3
1419,"Bud, Not Buddy",Christopher Paul Curtis,1994,4.0,2,4
1420,All the Pretty Horses,Cormac McCarthy,1992,5.0,6,1
1421,H is for Homicide,Sue Grafton,1991,5.0,7,1
1422,The Whipping Boy,Sid Fleischman,1986,5.0,3,1
1423,Me Before You,Jojo Moyes,2012,5.0,5,1
1424,Gregor the Overlander,Suzanne Collins,2003,5.0,9,1
1425,Tales of the Five Towns,Arnold Bennett,1905,4.0,8,0
1426,Everything Is Illuminated,Jonathan Safran Foer,2002,4.0,2,4
1427,The Listerdale Mystery,Agatha Christie,1961,4.0,85,2
1428,The Far Side of the World,Patrick O'Brian,1984,5.0,21,1
1429,Johnny and the Dead,Terry Pratchett,1993,4.0,54,2
1430,Muminpappans bravader / Muminpappans memoarer,Tove Jansson,1950,5.0,9,3
1431,Wild Fire,Nelson De Mille,2006,4.0,16,4
1432,Rooster who set out to see the world,Eric Carle,1971,5.0,16,1
1433,Five on a Secret Trail,Enid Blyton,1956,4.0,38,0
1434,What Happened to the Corbetts,Nevil Shute,1939,5.0,8,3
1435,Monsieur Beaucaire,Booth Tarkington,1900,4.0,5,0
1436,Father Bear comes home,Else Holmelund Minarik,1959,4.0,5,0
1437,By the Rivers of Babylon,Nelson De Mille,1978,4.0,16,4
1438,Cakes and Ale or The skeleton in the cupboard,William Somerset Maugham,1930,4.0,13,0
1439,An Abundance of Katherines,John Green,2006,3.51,6,4
1440,Princess and the Pea,Hans Christian Andersen,1967,4.0,9,4
1441,"Il mio nome è Stilton, Geronimo Stilton",Elisabetta Dami,1999,5.0,33,1
1442,The Amazing Adventures of Kavalier & Clay,Michael Chabon,1957,4.18,7,0
1443,The Strength of the Strong,Jack London,1911,5.0,22,3
1444,Journey Into Fear,Eric Ambler,1940,4.0,10,0
1445,Code to zero,Ken Follett,2000,5.0,20,1
1446,The Moor's Last Sigh,Salman Rushdie,1995,4.0,11,4
1447,The Plot Against America,Philip Roth,1998,5.0,8,1
1448,Dirk Gently’s Holistic Detective Agency,Douglas Adams,1987,5.0,8,1
1449,Saturday,Ian McEwan,2004,4.0,12,4
1450,Unterm Rad,Hermann Hesse,1900,5.0,11,3
1451,Keep the Aspidistra Flying,George Orwell,1936,5.0,10,3
1452,Reflections in a Golden Eye,Carson McCullers,1941,5.0,3,3
1453,Jingo,Terry Pratchett,1996,4.0,54,2
1454,The Lost Girl,David Herbert Lawrence,1920,5.0,12,3
1455,Le città invisibili,Italo Calvino,1972,4.0,8,4
1456,Pied Piper,Nevil Shute,1941,5.0,8,3
1457,Lilly's Purple Plastic Purse,Kevin Henkes,1996,4.0,7,4
1458,Le chien jaune,Georges Simenon,1931,5.0,45,3
1459,Tell No One,Harlan Coben,2000,5.0,16,1
1460,La bâtarde,Violette Leduc,1964,4.0,1,4
1461,Crucial Instances,Edith Wharton,1901,4.0,9,0
1462,Secrets of the Morning,V. C. Andrews,1991,5.0,25,1
1463,Simisola,Ruth Rendell,1994,5.0,18,1
1464,The Persian Boy,Mary Renault,1972,5.0,6,1
